ac,ah,hri,LDSI_i0_depth,LDSI_i0_surface,LDSI_i1_depth,LDSI_i1_surface,LDSI_i2_depth,LDSI_i2_surface,LDSI_i3_depth,LDSI_i3_surface,CDSI_i0_depth,CDSI_i0_surface,CDSI_i1_depth,CDSI_i1_surface,CDSI_i2_depth,CDSI_i2_surface,CDSI_i3_depth,CDSI_i3_surface,LDSE_i0_depth,LDSE_i0_surface,LDSE_i1_depth,LDSE_i1_surface,LDSE_i2_depth,LDSE_i2_surface,LDSE_i3_depth,LDSE_i3_surface,CDSE_i0_depth,CDSE_i0_surface,CDSE_i1_depth,CDSE_i1_surface,CDSE_i2_depth,CDSE_i2_surface,CDSE_i3_depth,CDSE_i3_surface
0.0,0.8,0.2,3.943,0.0,1.739,0.0,1.105,0.0,0.817,0.0,2.281,0.0,1.161,0.0,0.804,0.0,0.629,0.0,4.408,0.0,1.901,0.0,1.189,0.0,0.869,0.0,2.614,0.0,1.267,0.0,0.856,0.0,0.66,0.0
0.0,0.8,0.5,2.529,0.0,1.245,0.0,0.847,0.0,0.655,0.0,1.829,0.0,1.003,0.0,0.721,0.0,0.577,0.0,3.22,0.0,1.483,0.0,0.97,0.0,0.732,0.0,2.48,0.0,1.219,0.0,0.831,0.0,0.644,0.0
0.0,0.8,1.0,1.933,0.0,1.036,0.0,0.738,0.0,0.587,0.0,1.549,0.0,0.904,0.0,0.669,0.0,0.545,0.0,2.779,0.0,1.324,0.0,0.886,0.0,0.678,0.0,2.591,0.0,1.258,0.0,0.851,0.0,0.657,0.0
0.0625,0.0,0.0,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.0,0.0125,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.0,0.025,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.0,0.05,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.0,0.1,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.0,0.2,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.0,0.5,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.0,1.0,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713,1.105,0.282,0.673,0.0202,0.518,0.00277,0.435,0.000713
0.0625,0.1,0.0,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124,1.129,0.336,0.68,0.0177,0.52,0.00319,0.435,0.00124
0.0625,0.1,0.0125,1.129,0.337,0.68,0.0176,0.52,0.00316,0.435,0.00122,1.128,0.336,0.68,0.0175,0.52,0.00312,0.435,0.0012,1.131,0.337,0.681,0.0177,0.521,0.00317,0.435,0.00123,1.13,0.336,0.681,0.0176,0.52,0.00315,0.435,0.00122
0.0625,0.1,0.025,1.128,0.337,0.68,0.0176,0.52,0.00317,0.435,0.00122,1.127,0.336,0.679,0.0175,0.52,0.00309,0.435,0.00118,1.133,0.337,0.681,0.0176,0.521,0.00317,0.435,0.00122,1.131,0.336,0.681,0.0176,0.521,0.00315,0.435,0.00121
0.0625,0.1,0.05,1.125,0.337,0.679,0.0177,0.52,0.00318,0.434,0.00123,1.125,0.335,0.679,0.0174,0.519,0.00303,0.434,0.00114,1.134,0.337,0.682,0.0176,0.521,0.00315,0.436,0.00121,1.133,0.336,0.681,0.0176,0.521,0.00313,0.435,0.0012
